ms,no_units,uS,kOhms,mV
1.71E+12,3,0.093906094,10648.93617,1180.952381
1.71E+12,3,0.093906094,10648.93617,1252.747253
1.71E+12,3,0.093906094,10648.93617,1440.29304
1.71E+12,3,0.093906094,10648.93617,1727.472527
1.71E+12,3,0.093906094,10648.93617,2014.652015
1.71E+12,3,0.094350094,10598.82353,2202.930403
1.71E+12,3,0.094350094,10598.82353,2255.677656
1.71E+12,3,0.094350094,10598.82353,2191.208791
1.71E+12,3,0.094350094,10598.82353,2066.666667
1.71E+12,3,0.094350094,10598.82353,1933.333333
1.71E+12,3,0.094350094,10598.82353,1811.721612
1.71E+12,3,0.094350094,10598.82353,1697.435897
1.71E+12,3,0.094350094,10598.82353,1601.465201
1.71E+12,3,0.093906094,10648.93617,1523.076923
1.71E+12,3,0.093906094,10648.93617,1456.410256
1.71E+12,3,0.093906094,10648.93617,1406.593407
1.71E+12,3,0.093906094,10648.93617,1375.824176
1.71E+12,3,0.093906094,10648.93617,1367.032967
1.71E+12,3,0.093906094,10648.93617,1372.893773
1.71E+12,3,0.093906094,10648.93617,1388.278388
1.71E+12,3,0.093906094,10648.93617,1388.278388
1.71E+12,3,0.093906094,10648.93617,1386.813187
1.71E+12,3,0.093906094,10648.93617,1382.417582
1.71E+12,3,0.093906094,10648.93617,1376.556777
1.71E+12,3,0.093906094,10648.93617,1350.915751
1.71E+12,3,0.093906094,10648.93617,1320.879121
1.71E+12,3,0.093906094,10648.93617,1287.912088
1.71E+12,3,0.093906094,10648.93617,1269.59707
